director_id,movie_id
39434,B004I0EX8I
24983,B00006JU7O
24287,B00006JU7O
5064,B00015HX9K
36771,B00015HX9K
28666,B00015HX9A
24016,B00000JGOJ
10374,630207505X
38460,B00005V9IG
21984,B0007LPS7W
18473,B00005V9IL
17989,B00005V9IH
26336,B00005V9I4
18305,B00005V9I4
22426,B00005V9I4
9251,B00005V9I4
11557,B00005V9I4
25312,B00005V9IJ
7622,B00005V9I7
17842,B006R9CBOG
26953,B00005V9IK
37843,B00005V9I6
38614,B00005V9I1
23673,B003JFEIJC
21520,B00005V9I0
10243,B00005V9I3
30978,B00005V9I3
29847,B008LYCDW0
10137,B00192QNXQ
33977,B00005MFO9
25909,B00005V9I8
15359,B002YKY9QK
490,B002WKRSVA
37807,B000R9GMGK
8952,B0014Z4OO8
20865,B00027JYT4
4195,B003KM8U8O
12802,B0096RC57O
13248,B00006G8I7
5779,B00005MFO8
18329,B000Y9Z610
30671,B0045TOM6K
39352,B0045TOM6K
34670,B0045TOM6K
37376,B0045TOM6K
31778,B0045TOM6K
9891,B0045TOM6K
8677,B0045TOM6K
37996,B0045TOM6K
13622,B0045TOM6K
6773,B0045TOM6K
34319,B00015HX90
39774,B00379MVEO
30409,B00379MVEO
16145,B00379MVEO
23228,B00379MVEO
15871,B00379MVEO
20436,6305962979
5930,6300215857
25470,B001P7JVJS
22789,B000EF817U
25178,B000MQ58TU
36165,B000MQ58TU
31755,B00005RDSC
15388,B00000K0B3
19841,B00012FXJ0
19596,B0053O6Y9E
4538,B001DCE514
5514,B001DCE514
1087,B001DCE514
36365,B001DCE514
25650,B001DCE514
19306,B001DCE514
11335,B001DCE514
27575,B001DCE514
22836,B001DCE514
31026,B001DCE514
27502,B004EFBRMC
7405,B000028U3S
646,6301885597
32926,B0063FGFCS
38900,B004LB5FEA
5069,B00652U6LU
206,B00000JGOG
24811,B001J88VJY
6768,B001ENWSAC
9069,B001ENWSAC
19491,B004LB5FEK
39105,B004LB5FE0
30723,B004H8X2ZQ
20696,B00004UF14
28907,B00000K0B4
6501,B00004UF16
35728,B00004UF12
32904,B001OFSK3E
19993,B00009YXGX
19538,B0001LQJWG
16605,B000056PPF
368,B001U5S2WM
5183,B001U5S2WM
17482,B004S8UU4G
19082,6302806240
18151,B00009YXGR
33717,B000ID1Q02
14782,B000HT3PV0
38251,B000HT3PV0
36616,B00112S8RS
23432,B0052LZQ2O
6490,B000MTFFM2
35742,6304092083
39361,6302518296
28684,6303269680
21052,B0040OY9ZE
30530,B0040OY9ZE
14680,B005Z9MGQW
23038,B007TYI7RI
18732,B0001Y4LSM
14643,6301928334
2881,B00006G8IV
24647,B000EOU4N0
20613,B000EOU4N0
5064,B0010XUKI8
26209,B000AYEL9M
19731,B000FDEV02
21552,B002BVUBO6
27352,B001PTA34I
16123,B0002W19Z6
13733,B006GHA9QQ
34952,B00005EB0B
29343,B00009OWJQ
29559,6304173083
35503,B007SDTKD0
16937,B00008HC96
5437,6302744520
20737,B004MFBJ04
2766,B000EOU4NA
22773,B00009OWJT
3755,B000I1V3MU
25427,B000056N8Q
35503,B0059JU0YS
31394,B000056N8W
17715,B0052IBFMW
28494,B002KPPEYA
20795,B000056N8V
37187,B000LXHFUO
22696,B00068S3VY
36427,B00068S3VY
35460,B000ZHUFSK
11082,B0009Y7DSY
38760,B0007VY51C
22971,B000T7XFGU
4562,6303968902
27405,B003E1QC1S
19816,B00004CZRQ
38926,B0007VY51W
16934,B0007VY51W
33675,B0007VY51W
19619,B00004CZRA
5094,B003Y5GMNC
5556,B00005LL26
4818,B007XF0X4I
30404,B007XF0X4I
24874,B000EQ5V86
5789,B00827OWSO
37882,B001B8TUGU
13292,B00005QC3X
31492,B00007ELMT
5123,B003UAMWWQ
2774,B002U607HS
2306,B002BAXBNU
32926,B000RO9Q04
20742,B00026EXZ0
32191,B000ZLFALI
12840,B0098VXA5O
24874,B000EQ5V8G
29933,B00004CUYA
26312,6300182150
32926,B000N6UEYI
33859,B000BLRPOW
10802,B00106S9TM
773,B00106S9TM
26967,B00106S9TM
29350,B00004CZR4
35486,B00004CZR1
33769,B000A2SA64
21931,B000A2SA64
20451,B000MGAHWS
32251,6303160565
20466,B00775YIO0
26471,B00775YIO0
20696,B002PSXS54
37645,B00005MI3Z
12028,B0054PSXXM
38095,B000VRJ37I
13322,6304455992
6830,B00005Y6YP
9758,B00005Y6YP
13789,B00005Y6YP
12628,B00005Y6YS
6830,B00005Y6YQ
36372,B00005Y6YQ
22655,B00005Y6YV
35840,B00005Y6YV
25693,B00005Y6YV
21120,B00005Y6YV
31086,B00005Y6YV
29477,B000M7FSSA
17722,B00005Y6YU
19619,B000068TWC
22519,B00005Y6YK
11879,B00005Y6YO
4995,B00005Y6YO
23575,B00005Y6YN
24519,B00005Y6YM
2303,B00005Y6YL
16463,B000T12ILY
5096,B00005Y6YE
18016,B00005Y6YF
35503,B0050XU11U
34060,B004LVTT9W
12692,B002SL4LQ8
6711,B009CI66OA
5032,B009CI66OA
36290,B0009GX1Y2
1799,B0000V8I3A
20677,B0000V8I3A
15967,B001KX504W
11798,B000ICZD7K
26073,B00015HUWK
1354,B000VZC4X0
1839,B000CSNCI2
34638,B002PAD2HG
1688,B0001XAQA0
39921,B00005Y6Y3
35799,B000067J1I
35470,B00005Y6Y7
7966,B0051WTN32
19321,B001RNH7RI
12662,B00005Y6Y5
11657,B00005Y6Y4
5267,B000065U39
32744,B000065U34
28232,B0009OK7ZA
39289,B0009OK7ZA
38614,B000065U30
17293,B000065U37
33751,B000065U31
18031,B000065U36
18563,B000N8V3WS
37825,B000XJSL9U
26543,B002EEAJXI
9643,B00008XFAM
9244,B00005Q5N4
31275,B006A9XTYY
26824,B003UESJEW
27966,B004M7N40U
24151,B001D3GJ0S
24339,6302241359
24057,B0030U1THU
27194,B0030U1THU
15722,B0030U1THU
17982,B00074DXMQ
11920,B002KBA750
34789,B002KBA750
13160,B002KBA750
32926,B001LNWSMS
26824,B003UESJEM
18352,B000ICMF12
38189,B003IOB6SK
32926,B001DDY6NU
8817,B00284BV9A
32926,B001DDY6NA
1657,B007PZ6STK
28975,B001609ST2
798,B00009AOBJ
4153,B000N2HD7I
6542,B0039QEAIU
6686,B000CIWXTG
22283,6303343635
14867,B000065U3L
31905,B000065U3I
22597,B000YIGNCW
33321,B000065U3Q
25767,B006QF0SDM
19070,B000065U3J
39448,B000065U3K
26618,B004GIV40W
9804,B000JGD27I
32279,B00831T3JW
35671,B00831T3JW
12999,B0087ZG7RK
37807,B000YDKAOO
8455,B002FCAQJG
7801,6301053044
16497,B0002HOEPI
35085,6303495567
38218,B002Y5FKUE
11924,B002I2PI1Y
11005,B00005O439
17239,B00005O438
38956,B008GQWZF8
9166,B000087I3A
4740,B000O599VM
22465,B000A2UBPM
27880,B000A2UBPM
7413,B000O76RMO
9847,B000O599VW
37488,B0000V493S
25157,B000LWYHAG
21240,B004TPTFZI
25081,B0041EX170
28168,B008494LJU
19122,B000YFX0E4
